Top words in document 1
Word: equipping, TF-IDF: 0.02052 
Word: contributes, TF-IDF: 0.0184 
Word: colerain, TF-IDF: 0.01799 
Word: egbert, TF-IDF: 0.01799 
Word: desirableness, TF-IDF: 0.01799 
Word: brittanic, TF-IDF: 0.01799 
Word: repeatable, TF-IDF: 0.01799 
Word: michilimackinac, TF-IDF: 0.01799 
Word: aranjuez, TF-IDF: 0.01799 
Word: homogenous, TF-IDF: 0.01799 
Word: trumbull, TF-IDF: 0.01799 
Word: universe, TF-IDF: 0.01752 
Word: treatyto, TF-IDF: 0.01569 
Word: andrews, TF-IDF: 0.01569 
Top words in document 9
Word: damages, TF-IDF: 0.03753 
Word: gentlemen, TF-IDF: 0.03506 
Word: captures, TF-IDF: 0.03179 
Word: consuls, TF-IDF: 0.02579 
Word: philadelphia, TF-IDF: 0.02441 
Word: affections, TF-IDF: 0.02262 
Word: losses, TF-IDF: 0.0217 
Word: commissioners, TF-IDF: 0.0217 
Word: holland, TF-IDF: 0.0217 
Word: sums, TF-IDF: 0.02149 
Word: embarkedone, TF-IDF: 0.02121 
Word: augustto, TF-IDF: 0.02121 
Word: spherethe, TF-IDF: 0.02121 
Word: catholic, TF-IDF: 0.02065 
Word: sickness, TF-IDF: 0.01945 
Word: insinuated, TF-IDF: 0.0185 
Word: determinations, TF-IDF: 0.0185 
Word: sittings, TF-IDF: 0.0185 
Word: adjourned, TF-IDF: 0.01802 
Word: debts, TF-IDF: 0.0172 
Top words in document 10
Word: croix, TF-IDF: 0.05446 
Word: scoodiac, TF-IDF: 0.04087 
Word: gentlemen, TF-IDF: 0.04053 
Word: fundy, TF-IDF: 0.03256 
Word: demarcation, TF-IDF: 0.03136 
Word: france, TF-IDF: 0.02613 
Word: passamaquoddy, TF-IDF: 0.02513 
Word: bay, TF-IDF: 0.02091 
Word: discoverable, TF-IDF: 0.02044 
Word: northernmost, TF-IDF: 0.02044 
Word: determinate, TF-IDF: 0.02044 
Word: walnut, TF-IDF: 0.02044 
Word: malignancy, TF-IDF: 0.02044 
Word: undismayed, TF-IDF: 0.02044 
Word: solidity, TF-IDF: 0.02044 
Word: oblations, TF-IDF: 0.02044 
Word: fruitlessly, TF-IDF: 0.02044 
Word: evacuated, TF-IDF: 0.01782 
Word: natchez, TF-IDF: 0.01782 
Word: demonstrative, TF-IDF: 0.01782 
Top words in document 11
Word: gentlemen, TF-IDF: 0.05697 
Word: philadelphia, TF-IDF: 0.03778 
Word: punctuality, TF-IDF: 0.0328 
Word: deity, TF-IDF: 0.02462 
Word: ungrateful, TF-IDF: 0.02462 
Word: engagements, TF-IDF: 0.02193 
Word: retrenchments, TF-IDF: 0.01961 
Word: misrepresentations, TF-IDF: 0.01961 
Word: dispensations, TF-IDF: 0.01961 
Word: britannic, TF-IDF: 0.01889 
Word: 1799, TF-IDF: 0.01828 
Word: remotely, TF-IDF: 0.01828 
Word: seduced, TF-IDF: 0.01828 
Word: repelling, TF-IDF: 0.01828 
Word: misdemeanors, TF-IDF: 0.01729 
Word: privateering, TF-IDF: 0.01729 
Word: sincerely, TF-IDF: 0.01628 
Word: interpretation, TF-IDF: 0.01628 
Word: recollected, TF-IDF: 0.01574 
Word: escaping, TF-IDF: 0.01574 
Top words in document 12
Word: gentlemen, TF-IDF: 0.06838 
Word: unbecoming, TF-IDF: 0.02586 
Word: unabating, TF-IDF: 0.02586 
Word: imprudence, TF-IDF: 0.02586 
Word: homeward, TF-IDF: 0.02255 
Word: adorned, TF-IDF: 0.02255 
Word: imploring, TF-IDF: 0.02255 
Word: misdirected, TF-IDF: 0.0206 
Word: veneration, TF-IDF: 0.0206 
Word: lamentably, TF-IDF: 0.0206 
Word: constancy, TF-IDF: 0.0206 
Word: uncommon, TF-IDF: 0.0206 
Word: piety, TF-IDF: 0.0206 
Word: innovations, TF-IDF: 0.0192 
Word: directions, TF-IDF: 0.01857 
Word: endeavors, TF-IDF: 0.01857 
Word: trusting, TF-IDF: 0.01653 
Word: temple, TF-IDF: 0.01653 
Word: felicity, TF-IDF: 0.0159 
Word: manners, TF-IDF: 0.0159 
Top words in document 13
Word: revisal, TF-IDF: 0.02393 
Word: frigates, TF-IDF: 0.02095 
Word: multiplication, TF-IDF: 0.02095 
Word: proportioned, TF-IDF: 0.01817 
Word: befriends, TF-IDF: 0.01704 
Word: habituated, TF-IDF: 0.01704 
Word: 74gun, TF-IDF: 0.01704 
Word: exigence, TF-IDF: 0.01704 
Word: sterret, TF-IDF: 0.01704 
Word: reformations, TF-IDF: 0.01704 
Word: disallowing, TF-IDF: 0.01704 
Word: accountabilities, TF-IDF: 0.01704 
Word: geometric, TF-IDF: 0.01704 
Word: auctions, TF-IDF: 0.01704 
Word: slackened, TF-IDF: 0.01704 
Word: circumscribing, TF-IDF: 0.01704 
Word: multiply, TF-IDF: 0.01562 
Word: shew, TF-IDF: 0.01562 
Word: mediterranean, TF-IDF: 0.01517 
Word: depending, TF-IDF: 0.01507 
Top words in document 14
Word: attentions, TF-IDF: 0.03626 
Word: countervailing, TF-IDF: 0.02556 
Word: tripoli, TF-IDF: 0.02173 
Word: unobserved, TF-IDF: 0.02079 
Word: unoppressed, TF-IDF: 0.02079 
Word: canker, TF-IDF: 0.02079 
Word: repurchase, TF-IDF: 0.02079 
Word: oconee, TF-IDF: 0.02079 
Word: safetythese, TF-IDF: 0.02079 
Word: supervenes, TF-IDF: 0.02079 
Word: oakmulgee, TF-IDF: 0.02079 
Word: talasscee, TF-IDF: 0.02079 
Word: burthens, TF-IDF: 0.02024 
Word: inequalities, TF-IDF: 0.01839 
Word: nurseries, TF-IDF: 0.01813 
Word: decays, TF-IDF: 0.01813 
Word: shallowness, TF-IDF: 0.01813 
Word: bashaw, TF-IDF: 0.01813 
Word: presuming, TF-IDF: 0.01813 
Word: reloans, TF-IDF: 0.01813 
Top words in document 15
Word: acquisition, TF-IDF: 0.02557 
Word: individually, TF-IDF: 0.02046 
Word: contraventions, TF-IDF: 0.02 
Word: progression, TF-IDF: 0.02 
Word: commiseration, TF-IDF: 0.02 
Word: divesting, TF-IDF: 0.02 
Word: infecting, TF-IDF: 0.02 
Word: orleans, TF-IDF: 0.01983 
Word: reloans, TF-IDF: 0.01744 
Word: kaskaskia, TF-IDF: 0.01744 
Word: partialities, TF-IDF: 0.01744 
Word: angles, TF-IDF: 0.01744 
Word: perpetually, TF-IDF: 0.01744 
Word: tripoline, TF-IDF: 0.01744 
Word: dispositions, TF-IDF: 0.01621 
Word: augmentation, TF-IDF: 0.01621 
Word: efficaciously, TF-IDF: 0.01593 
Word: umpirage, TF-IDF: 0.01593 
Word: remittances, TF-IDF: 0.01593 
Word: miseries, TF-IDF: 0.01593 
Top words in document 16
Word: delawares, TF-IDF: 0.04214 
Word: wabash, TF-IDF: 0.02807 
Word: 1803, TF-IDF: 0.0259 
Word: dispositions, TF-IDF: 0.02562 
Word: irregularities, TF-IDF: 0.02403 
Word: infringements, TF-IDF: 0.02107 
Word: incendiaries, TF-IDF: 0.02107 
Word: ensues, TF-IDF: 0.02107 
Word: consolidates, TF-IDF: 0.02107 
Word: kaskaskias, TF-IDF: 0.02107 
Word: breadthfrom, TF-IDF: 0.02107 
Word: explanations, TF-IDF: 0.01994 
Word: ohio, TF-IDF: 0.01877 
Word: louisiana, TF-IDF: 0.01877 
Word: piankeshaws, TF-IDF: 0.01837 
Word: learnt, TF-IDF: 0.01837 
Word: wanting, TF-IDF: 0.0179 
Word: augmentation, TF-IDF: 0.01708 
Word: noticing, TF-IDF: 0.01678 
Word: vincennes, TF-IDF: 0.01678 
Top words in document 17
Word: complement, TF-IDF: 0.03332 
Word: certify, TF-IDF: 0.02878 
Word: hovering, TF-IDF: 0.02683 
Word: plundered, TF-IDF: 0.02407 
Word: peaceable, TF-IDF: 0.02398 
Word: tripoli, TF-IDF: 0.01889 
Word: belligerent, TF-IDF: 0.01848 
Word: bottomed, TF-IDF: 0.01807 
Word: fevers, TF-IDF: 0.01807 
Word: ocmulgee, TF-IDF: 0.01807 
Word: endemic, TF-IDF: 0.01807 
Word: disjoined, TF-IDF: 0.01807 
Word: exbashaw, TF-IDF: 0.01807 
Word: quarantines, TF-IDF: 0.01807 
Word: ransom, TF-IDF: 0.01807 
Word: deputations, TF-IDF: 0.01807 
Word: countenances, TF-IDF: 0.01807 
Word: ulcofauhatche, TF-IDF: 0.01807 
Word: incommunicable, TF-IDF: 0.01807 
Word: creeks, TF-IDF: 0.01805 
Top words in document 18
Word: clarke, TF-IDF: 0.05431 
Word: lewis, TF-IDF: 0.04736 
